bot id,x,y,x in,y in
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,66,15.897230038667516,4.446386371492406
bot0,227,66,15.967571764502328,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,67,15.897230038667516,4.513755861969564
bot1,131,72,9.214766084360374,4.850603314355352
bot0,227,66,15.967571764502328,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,66,15.967571764502328,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,131,72,9.214766084360374,4.850603314355352
bot0,227,66,15.967571764502328,4.446386371492406
bot1,130,73,9.144424358525562,4.91797280483251
bot0,226,66,15.897230038667516,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,66,15.967571764502328,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,131,72,9.214766084360374,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,66,15.897230038667516,4.446386371492406
bot1,130,73,9.144424358525562,4.91797280483251
bot0,226,66,15.897230038667516,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,67,15.897230038667516,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,66,15.967571764502328,4.446386371492406
bot1,131,72,9.214766084360374,4.850603314355352
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot0,227,66,15.967571764502328,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,66,15.897230038667516,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,67,15.897230038667516,4.513755861969564
bot1,130,73,9.144424358525562,4.91797280483251
bot0,226,67,15.897230038667516,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,66,15.967571764502328,4.446386371492406
bot1,129,72,9.07408263269075,4.850603314355352
bot0,228,66,16.03791349033714,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,228,67,16.03791349033714,4.513755861969564
bot1,129,72,9.07408263269075,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,129,72,9.07408263269075,4.850603314355352
bot0,226,66,15.897230038667516,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,129,72,9.07408263269075,4.850603314355352
bot0,227,66,15.967571764502328,4.446386371492406
bot1,130,71,9.144424358525562,4.783233823878194
bot0,226,66,15.897230038667516,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,66,15.967571764502328,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,67,15.897230038667516,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,67,15.897230038667516,4.513755861969564
bot1,131,72,9.214766084360374,4.850603314355352
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot0,227,66,15.967571764502328,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,67,15.897230038667516,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,67,15.897230038667516,4.513755861969564
bot1,129,73,9.07408263269075,4.91797280483251
bot1,130,73,9.144424358525562,4.91797280483251
bot0,227,67,15.967571764502328,4.513755861969564
bot1,130,73,9.144424358525562,4.91797280483251
bot0,226,66,15.897230038667516,4.446386371492406
bot0,227,67,15.967571764502328,4.513755861969564
bot1,129,72,9.07408263269075,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,67,15.897230038667516,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,226,67,15.897230038667516,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot0,226,66,15.897230038667516,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,228,67,16.03791349033714,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,228,67,16.03791349033714,4.513755861969564
bot1,129,73,9.07408263269075,4.91797280483251
bot0,226,66,15.897230038667516,4.446386371492406
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,129,72,9.07408263269075,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,130,72,9.144424358525562,4.850603314355352
bot0,227,67,15.967571764502328,4.513755861969564
bot1,130,73,9.144424358525562,4.91797280483251
bot0,226,67,15.897230038667516,4.513755861969564
